ID	EntryID	Segments	Meaning
466	4615-kesa	k eː ʃ ɒ	Kampf, Pein, Quälerei, Streit, kämpfen, kämpfen
467	4616-kese	k ɛ ʃ ɛ	Haar, usw, gestiefelt, Vieh, Pferd, verschossen, Stoff, Schweinerasse
468	4618-keseru	k ɛ ʃ ɛ r yː	bitter, qualvoll, lästig, peinlich, erbittert, enttäuscht, Betrübnis, Bitternis, Magenbitter, Getränk, bitter
469	4621-kesik	k eː ʃ i k	säumen, zögern, säumig, spät, kommen, Verspätung, nachgehen, Uhr, säumen, hindern
470	4622-keskeny	k ɛ ʃ.k ɛ ɲ	schmal, eng
471	4626-keszeg	k ɛ s ɛ ɡ	Weißfisch, magerer, gewöhnlich, Mensch
472	4632-ket	k eː t	zwei, Attr, Zweifel
473	4644-kever	k ɛ v ɛ r	umrühren, vermischen, umdrehen, beschmutzen, verwickeln, Unannehmlichkeiten, mischen, mengen, verwirren, verwechseln, aufrühren, wegwerfen, verwerfen, stiften, Unheil, Mischung, herumtreiben
474	4646-kez	k eː z	Hand, freundlich, nachgiebig, Hand, etw, vorzeichnen, Gebärde, tun, lenken, betätigen
475	4656-kebel	k ɛ b ɛ l	Gemeinschaft, Nabe, Tal, Vertiefung, Busen, Brust, Kleid, Schoß, Hertz, breiter, Streifen, Teil, Biegung, Ausbuchtung, Bucht, Unterrock
476	4668-kedd	k ɛ dː	Dienstag
477	4671-kedv	k ɛ d.v	Wohlgefallen, Wunsch, Wohlwollen, Laune, Lust, Genuß, Vergnügen, Neigung, Bereitwilligkeit, liebevoll, herzlich, Sache, willen
478	4675-kegy	k eː ɟ	Rennbahn, Stadion, Kampfplatz, Arena, Art, Längenmaß, etwa, m, Grenzstein, Regenbogen, Lilie
479	4680-kek	k eː k	blau, grün, grau, Pferd, Ochse, blauer, Lattich, Wunde
480	4684-kel	k ɛ l	gehen, wandern, entstehen, stammen, herauskommen, aufstehen, erwachen, aufkeimen, Ei, schlüpfen, aufgehen, Gestirn, aufmachen, etw, tun, angreifen, empören, Kräften, kommen, aufgehen, Teig, wurde, ausgestellt, gegeben, ausgehen, Geld, Vorrat, verlorengehen, verschwinden, entstehen, wachsen, Geschwür, nötig, abbauen, fördern, Bergbau, Ursprung, Datum, gängig, Akte, Betrag
481	4689-kelepce	k ɛ l ɛ p.t͡s ɛ	Fallstrick, Falle, hinterlistige, Nachstellung, oberer, Teil, Haspel, Stab, Enden, besteht
482	4704-kem	k eː m	Späher, Wache, Spion, spähen
483	4705-kemence	k ɛ m ɛ n.t͡s ɛ	Bauern-, Back-, Schmelzofen, usw, Gneis
484	4706-kemeny	k ɛ m eː ɲ	schwer, ertragen, schwierig, streng, barsch, unbarmherzig, wild, schonungslos, grob, rauh, Wetter, hart, steif, fest, stramm, hoch, eingeschätzt, stimmlos, Konsonant, mineralischen, Salzen, reich, hart, Wasser, Dur-, Tonleiter, hart, grausam, hart, Stärke
485	4712-ken	k ɛ n	schmieren, über-, bestreichen, wischen, reiben, einweihen, vertuschen, bestechen, jmdm, etw, massieren, schminken, prügeln, Salbe, Balsam, Salben, Scheinheiligkeit, übertriebene, Andacht, Art, schminken, wischen, Salbe
486	4715-kende	k ɛ n.d ɛ	Großfürst, Bundes, ungarischen, Stämme, Landnahme
487	4716-kender	k ɛ n.d ɛ r	Hanf, Flachs
488	4721-kenez	k ɛ n eː z	Anführer, Hauptmann, Vorsteher, rumänischer, od, ukrainischer, rumänischer, od, ukrainischer, Dorfrichter, Korporal
489	4723-kengyel	k ɛ n.ɟ ɛ l	Steigbügel, Gehörknöchelchen, Mittelohr, bügel
490	4731-kenyer	k ɛ ɲ eː r	Brot, Lebensunterhalt, nötige, Nahrung, Unterhalt, erforderlichen, Mittel, Fach, Gewohnheit, Redewendungen, Fach, Gewohnheit, Kumpan, Brot, essen, bestechen
491	4734-kep	k eː p	Form, Gestalt, Bild, Bildnis, Gesicht, Miene, Standbild, Ähnlichkeit, Ebenbild, Vertretung, Vertreter, Erscheinung, Vorstellung, Sinnbild, Schein, Bild, Auftritt, Theater
492	4735-kep	k eː p	Art, Speer, Lanze, Speer, bewaffneter, Mensch
493	4736-kepe	k ɛ p ɛ	Gläubigen, Priester, Kantor, Brut, Küken, Schnitter
494	4738-kicsi	k i t͡ʃ i	klein, wenig, gering, lieb, geliebt, Kleinkind, Junge, klein
495	4745-kigyo	k iː ɟ oː	Schlange, Ding, falsche, böswillige, Person
496	4765-kin	k iː n	Pein, Qual, Leid
497	4773-kiraly	k i r aː j	König, Hauptfigur, Schachspiel, Ähnlichen, zweithöchste, Spielkarte, höchste, Kegel, Kegelspiel
498	4779-kis	k i ʃ	klein, unbedeutend, minderwertig, wenig, gering, jung, lieb, geliebt
499	4826-koris	k øː r i ʃ	Esche
500	4833-korom	k ø r ø m	Nagel, Kralle, Klaue, Huf, Gabel, Forke, Art, Star, Augenkrankheit, Teil, zusammengesetzter, Pflanzennamen, Schlag, Fingernagel
501	4839-kortvely	k ø r.t.v eː j	Birne, Birnbaum
502	4850-kot	k ø t	binden, anbinden, stricken, flechten, einwickeln, umhüllen, einbinden, Buch, verpflichten, verbinden, Zauber, binden, bannen, verknüpfen, schließen, Vertrag, Frieden, usw, jmdm, anbinden, Streit, Sache, etw, aussetzen, etw, ansetzen, Seil, Seil, Strick, Verpflichtung, Obliegenheit, Verbindung, Seiler, Schurz, Band, Bund, Schluß, Bündnis, Binde, Stricken, Einband, binden, Fessel, Bündel, Verbindung, Verband, Milit, jmdm, anbinden, Händel, suchen, etw, verbunden, Verbindung, Pflicht, Verpflichtung, Bündel, Mittel
503	4852-koteles	k ø t ɛ l ɛ ʃ	verbunden, verpflichtet, verpflichtend
504	4858-koveszt	k ø v ɛ s.t	leicht, abkochen, brühen, garen, Fleisch
505	4859-kovet	k ø v ɛ t	Abgesandter, Anzeichen, Gesandter, Botschafter, Abgeordneter, Sendung, Auftrag, Mission, Botschaft, Abordnung, Gesandtschaft, Botschaft
506	4866-kozep	k ø z eː p	mittlerer, Mitte, befindlich, mittel, Gestalt, Größe, mittelmäßig, desinteressiert, indifferent, Mitte, Mittelmäßigkeit, mittlere, Möglichkeit, Mittelweg, Mittelpunkt, Partei, Mitte, Durchschnittsmensch, mittelmäßige, Menge, mittelmäßig
507	4907-koboz	k o b o z	Art, Laute, Sinnbild, Dichtung
508	4977-koma	k o m ɒ	Gevatter, Freund, Kamerad, Mädchen, Pfingsten, Burschen, Ei, bekommt
509	4994-komlo	k o m.l oː	Hopfen
510	5025-konc	k o n.t͡s	Stück, Fleisch, Bissen, Buch, Papierbogen, Beute, knochen
511	5031-kondor	k o n.d o r	kraus
512	5045-konkoly	k o n.k o j	ähnl, Unkraut, Sinnbild, Ansteckung, od, Zwietracht
513	5078-konyha	k o ɲ.h ɒ	Feuerstelle, Herd, Küche, Raum, Kochkunst, Raum, wäscht, Chemie, beschäftigt, usw
514	5080-kopancs	k o p aː n.t͡ʃ	Specht
515	5097-kor	k o r	gewisses, Alter, Menschen, Lebensalter, Zeit, Zeitalter, Dauer, Zustandes, gleichaltrig
516	5132-koro	k oː r oː	dürrer, Stengel, ein-, zweijährigen, Pflanzen, alter, magerer, Mensch
517	5134-korom	k o r o m	Ruß, Schmutz, Schwärze, Dunkel, Art, schwarz
518	5140-korpa	k o r.p ɒ	Kleie, Schuppen, Kopfhaut, Geld
519	5155-kos	k o ʃ	Widder, Rammbock, Holzschraube, Kelter
520	5187-kova	k o v ɒ	Feuerstein
521	5188-kovacs	k o v aː t͡ʃ	Schmied
522	5200-ko	k øː	Stein, Edelstein, Gewicht, Stein, Med, Blitz, Hagel, steinigen, pflastern
523	5202-kobol	k ø b ø l	hölzerne, Fassung, Grube, Brunnens, od, Quelle, Art, unterschiedlicher, Größe, bzw, Größe, Art, Flächenmaß, worauf, Metze, Getreide, gesät
524	5208-kokeny	k ø k eː ɲ	Schlehdorn
525	5212-koles	k ø l ɛ ʃ	Hirse
526	5219-kolyok	k ø j ø k	Junge, Welpe, Bengel, Grünschnabel
527	5227-konny	k ø ɲː	Träne, Träne
528	5229-konnyu	k ø ɲː yː	schnell, geschickt, graziös, Bewegung, schnell, geschickt, graziös, bewegend, Person, leicht, sorgenlos, frei, Übel, Leiden, mühelos, anstrengend, unbeständig, leichtsinnig, zart, sanft, dünn, fein, luftig, Leder, Kleidungsstück, Kleidung, leicht, verdaulich, konzentriert, Spirituosen, unterhaltend, Lektüre, leichter
529	5277-kuka	k u k ɒ	blöd, einfältig, stumm, taub, taubstumm, stammelnd, stotternd
530	5294-kulcs	k u l.t͡ʃ	Schlüssel, Lösung, Erklärung, Art, Gerät, Schraubenschlüssel, usw, beherrschende, Stelle, Zeichen, Bestimmung, Tonhöhe, Schlüsselbein, Proportion, Bezahlung, Verteilung, usw
531	5309-kun	k u n	Angehöriger, ung, ethnographischen, Gruppe, —, später, —, ung, ethnographische, Gruppe, bezüglich
532	5310-kuna	k u n ɒ	Art, Steuer, Marder
533	5349-kurta	k u r.t ɒ	kurz, stumpf, Ausdruck, Beschimpfung, Geringschätzung, unerlaubten, Ausschank, Wirt, kleinerem, Wert, Geld, ganzjährig, betrieben, unerlaubtem, Ausschank, dienend, bescheidenem, Adeliger, Besitzer, Benennung, Tiere, Zigarillo
534	5363-kut	k uː t	Quelle, Brunnen, Zisterne
535	5366-kutfo	k uː t.f øː	Ursprung, quelle, Urkunde
536	5379-kullo	k y lː øː	Halbmesser, Radius
537	5380-kullo	k y lː øː	Bienenfresser, Specht, Amsel
538	5385-kulso	k y l.ʃ øː	äußerlich, auswärtig, draußen, befindlich, Außenwelt, gehörend, Geisteswelt, äußere, Außen-, Form, usw, fremd, Person, äußeres, Gebiet, Fremde, Äußeres, Aussehen, Außenfläche, Außenseite, Mantel, Reifen, Leder, Ball
539	5387-kurt	k y r.t	Horn, Instrument, Schornstein, Ofenrohr, Eileiter, Röhre, Becher, Trinkhorn, Baumkuchen, Hupe
540	5414-lada	l aː d ɒ	Kiste, Behälter, Fahrzeuges, od, Wagenkasten, Kiste, Truhe
541	5430-lak	l ɒ k	Wohnsitz, Wohnort, alleinstehendes, kleines, Wohnhaus
542	5464-lanka	l ɒ n.k ɒ	Wiese, od, Acker, Gewässer, sanfter, Abhang, Halde, Obstgarten, schwacher, Strömung
543	5471-lap	l ɒ p	flache, Klinge, Säbel, Fläche, Messer, flache, Seite, Fläche, Seite, Buch, Blatt, Karte, Niederung, Zeitung, Platte
544	5472-lap	l aː p	Moor, Floß, sung
545	5484-lassu	l ɒ ʃː uː	langsam, leise, still, sanft, gemäßigt, gemächlich, Art, Tanz, besänftigen, verlangsamen, kraftlos, langsam
546	5487-lat	l aː t	sehen, schauen, besuchen, etw, sehen, etw, umsehen, erfahren, verstehen, Kenntnis, nehmen, achtgeben, achten, untersuchen, prüfen, etw, halten, etw, zugreifen, empfangen, aufnehmen, jmdm, umgehen, erleben, jmdm, etw, zuteil, lassen, Prophet, Vision, Sehen, sichtbar, offen
547	5500-laz	l aː z	Lichtung, Blöße, Wiese, Rodung
548	5511-leany	l ɛ.aː ɲ	Mädchen, Tochter, magd, Freudenmädchen
549	5532-legeny	l ɛ ɡ eː ɲ	Bursche, Junggeselle, Diener, gemeiner, Soldat, braver, tüchtiger, Kerl, Wesen, Bursche, Mannschaft
550	5535-legy	l eː ɟ	Fliege, Spitzel, Fliege, Korn, Gewehr, verwirrt, voller, Fliegen
551	5541-lehen	l eː h ɛ n	gelegentliche, Versorgung, Soldaten
552	5562-len	l ɛ n	Flachs
553	5565-lengyel	l ɛ n.ɟ ɛ l	Pole, Art, Tanz, bzw, Musik, polnisch
554	5591-les	l ɛ ʃ	Anstand, Lauer, Versteck, Hinterlist, Hinterhalt, Abseits, Fußball
555	5595-lesz	l ɛ s	existieren, etw, geschehen, versch, Formen, Verbs, →, geboren, entstehen
556	5605-level	l ɛ v eː l	Brief, Blatt, Pflanze, Adels-, Freibrief, usw, Urkunde, Blatt, Seite, Buch, Zettel, dünne, Metallplatte, Gegenstand, Zeitung, Blätterteig, Blätter, treiben, blättrig, Verbrechens, verdächtigt, brieflich, verfolgt, entblättern, Triebe, entfernen, Briefwechsel, führen
557	5615-liba	l i b ɒ	Gans, Mädchen, dummes, Weib, Moos, Dach
558	5621-libuc	l i b u t͡s	Kiebitz
559	5629-lt	l.t	Auwald, Hain, Wiese, Park, Lichtung, Hain, Garten, usw
560	5660-lo	l oː	Pferd, Springer, Schachspiel, blöde, Person, Pferd, reiten
561	5683-lom	l o m	dürre, Zweige, Reisig, Plunder, Kram
562	5684-lom	l o m	Rauhreif, Matsch, Tau, Niederschlag
563	5685-lomb	l o m.b	Laub, Zweig, belaubt
564	5691-lomp	l o m.p	Beutel, Teil, Kleidungsstückes, Lumpen, bauschige, Hosen, Behaarung, Filz
565	5695-lop	l o p	stehlen, Arbeit, heimlich, verstohlen, heimlich, verstohlen
566	5712-lo	l øː	schießen, werfen, schleudern, auslassen, schießen, werfen, erledigt, od, kaputt, Essig, schießen, Schütze
567	5714-lok	l ø k	werfen, Takt, schlagen, beim, Tanz, Singen, usw, stoßen, stechen, zerstoßen, Stoß
568	5724-lud	l uː d	Gans, Wildgans, Art, Spiel, dumme, Person, Gänse
569	5736-lusta	l u ʃ.t ɒ	gewissen, Gangart, Pferd, faul, träge, untätig, unschön
570	5746-lyuk	j u k	Höhle, Loch, Hohlraum, Loch, Lücke, Zelle, Kerker, Loch, elendes, enges, Quartier, Fehlwurf, versch, Sportarten
571	5747-ma	m ɒ	heute, heutzutage, heutige, Tag, Heute, Gegenwart
572	5761-madar	m ɒ d aː r	Vogel, loser, Vogel, Spatz
573	5767-mag	m ɒ ɡ	Nachkomme, Geschlecht, Kern, Samen, Sperma, Anfang, Wesentliche, Kern, Vermehrung, gezüchtet, unfruchtbar, kinderlos, kernig, gehaltvoll
574	5771-magas	m ɒ ɡ ɒ ʃ	Gipfel, Höhe, hoch, hochgeschätzt, erhaben, hoher, hoch, Ton, Vokal, groß, Gewinn, Verdienst, usw, bestimmter, Höhe
575	5783-magyal	m ɒ ɟ ɒ l	Stechpalme
576	5784-magyar	m ɒ ɟ ɒ r	Ungar, ungarisches, Lied, Art, ungarischer, Tanz, ungarisch, klar, deutlich
577	5800-marc	m aː r.t͡s	Met, Honigwasser, Erfrischungsgetränk
578	5828-mart	m ɒ r.t	Hügel, Erhöhung, Ufer
579	5852-maszik	m aː s i k	klettern, kriechen
580	5858-mat	m ɒ t	kramen
581	5877-makk	m ɒ kː	Frucht, Eiche, Eichel, männlichen, Gliedes, Walnuß, Eichel, Benennung, Gegenstände, Stieleiche, Schlinge
582	5883-mal	m aː l	Wamme, Tiers, Kropf, Vogels, Ufer
583	5889-malaszt	m ɒ l ɒ s.t	Gnade, Religion, Gunst, Wohlwollen
584	5897-malom	m ɒ l o m	Mühle, Anlage, Art, Brettspiel, Figur, Spiel, Benennung, versch, kreisförmiger, Bewegungen, Armen, bzw, Beinen, Daumen, übereinander, Kreise, bewegen
585	5925-manko	m ɒ n.k oː	Krücke, Griff, Sense, Stütze, Hilfe
586	5932-mar	m ɒ r	zerreißen, auffressen, beißen, reißen, verletzen, zerkrümeln, reiben, Schimpf, Verleumdungen, bekämpfen, jmdm, ewigem, Zank, liegen, ätzen, fräsen, Raubvogel, Fräse, Fräser
587	5935-marad	m ɒ r ɒ d	verbleiben, erhalten, verweilen, Zustand, bleiben, jmdm, zufallen, büßen, bleiben, Math, Nachkomme, Überbleibsel
588	5936-maraz	m ɒ r aː z	gefrorener, Tau, Reif
589	5962-mecs	m eː t͡ʃ	Docht
590	5967-meddo	m ɛ dː øː	unfruchtbar, gelt, fruchtlos, taub, Gestein, Eunuch, Herde, gelten, Schafen, taubes, Gestein
591	5974-medve	m ɛ d.v ɛ	Bär, beim, Tenne, Regen, naß, geworden, mürrischer, Mensch
592	5985-megy	m ɛ ɟ	verlaufen, führen, Weg, Fluß, usw, gehen, fahren, Gang, kommen, usw, Lebewesen, Fahrzeug, gelangen, Gegenstand, verschwinden, etw, vergehen, Zeit, Dauer, vonstatten, gehen, Gang, Betrieb, Platz, Raum, hinpassen, abgehen, Ware, aufgehen, Menge, etw, passen, Gang, Gelände, entlang, etw, Wegrand, Ufer, Gehen, Gang, beim, Gehen, Hinweg, Zug, Gruppe, schicken, Gang, marschieren, Bedürfnis, gehen
593	5987-megye	m ɛ ɟ ɛ	Rain, Diözese, Komitat, Verwaltungsbezirk
594	5988-meggy	m ɛ ɟː	Sauerkirsche
595	5989-meh	m eː h	Biene, Bienenstand, Imker, Imker, Bienen, züchten
596	5996-meleg	m ɛ l ɛ ɡ	warm, eifrig, lau, warm, aufgetischt, gekocht, freundlich, traulich, Kleid, Bettzeug, aufregend, gefährlich, warm, Farbe, homosexuell, bes, Frau, Wärme, Vertraulichkeit, sofort
597	6010-melto	m eː l.t oː	würdig, gnädig, etw, tun, passend, verdient, gerecht, Gnade, erweisen, etw, tun, angemessen, befinden, Gnade, erweisen, etw, tun, Gnade, Würde, Euer, Gnaden, vornehm, angemessen, angemessen, befinden, würdig, erweisen, etw, tun
598	6012-mely	m eː j	tief, unten, befindlich, hochgradig, tiefsinnig, geräumig, gefühlvoll, tief, kräftig, Farbe, tief, Stimme, Tiefe
599	6014-men	m eː n	Hengst, Gestüt
600	6020-mezo	m ɛ z øː	Feld, Acker, Weide, Wiese, Gras, grüne, Saat, Landgut, Bauerngut, Feld, Gebiet, Tätigkeit
601	6023-mezsgye	m ɛ ʒ.ɟ ɛ	Rain
602	6092-mizser	m i ʒ ɛ r	Mitglied, Volksgruppe, Osteuropa
603	6153-mester	m ɛ ʃ.t ɛ r	Vorsteher, Vorgesetzter, Führer, Vorbild, Lehrmeister, Religion, erfahrene, ausgelernte, Person, geschickte, schlaue, Person, Handwerksmeister, großer, Könner, Künstler, Lehrer, Schulmeister, Henker, Rechtssachen, Beamter, Kunst, Handwerk, Machenschaft, künstlerisch, unecht, künstlich
604	6154-mesz	m eː s	Kalk
605	6160-met	m ɛ t	gravieren, ab-, zurückschneiden, Ast, Trieb, schneiden, Bäumen, usw
606	6173-mez	m eː z	Honig, Honig, haupts, Honig, süß, Honig, sammeln, tragen, bereiten
607	6179-mocsolya	m o t͡ʃ o j ɒ	Pfütze
608	6188-mogyoro	m o ɟ o r oː	Gegenstand, usw, Kartoffel
609	6211-mond	m o n.d	sagen, sprechen, nennen, behaupten, Thema, Stoff, Erzählung, Vortrags, Spruch, Ausdruck, Ausdrucksweise, Sagen, Spruch, Spruch
610	6220-monoh	m o n o h	Mönch, Einsiedler
611	6225-monostor	m o n o ʃ.t o r	Mönchsorden, mittelalterlicher, Stiftung
612	6230-mony	m o ɲ	Hoden, Ei, Schwengel, Glocke, Sperma, Penis, männlich, großen, Hoden, Tier
613	6238-mordaly	m o r.d aː j	Mörder, grausamer, hinterlistiger, Mensch, mörderische, Waffe, Dolch, Pistole
614	6251-morotva	m o r o t.v ɒ	Teich, toter, Arm, Flusses, Meeresbucht, Lagune
615	6255-mos	m o ʃ	jmdn, waschen, waschen, läutern, verwischen, verschmelzen, schimpfen, prügeln, Waschbecken, waschen, gründlich, abwaschen, Geschirr, waschen
616	6280-mog	m ø ɡ	Hintergrund, Geschlechtsorgan, Stute, Kuh, usw
617	6289-mulat	m u l ɒ t	Zeit, verbringen, weilen, geschehen, lassen, erdulden, versäumen, belustigen, unterhalten, vergehen, lassen, unterhalten, belustigen, belustigen, lachen, jmdn, od, etw, Gaststätte, verzögern, unterhalten, belustigen
618	6293-mulya	m u j ɒ	Maultier, Maulesel, tölpelhaft
619	6299-munka	m u n.k ɒ	Qual, Marter, Folter, Arbeit, Werk, Lohn, qualvoll, Arbeiter, Tätigkeit, Wirksamkeit, Arbeiterschaft
620	6317-mut	m u t	zeigen, bezeichnen, beweisen
621	6327-mu	m yː	Handlung, Arbeit, Wirksamkeit, Erzeugnis, Werk, Zeug, Sache, Frucht, Handwerk, Fabrik, Kunst-, künstlich, falsch, handeln, Handwerker, mühevoll, Arbeit, erworben, gebildet, Arbeit, erworben, Arbeit, erworben, ungebildet, kunstvoll, Kunst-, künstlich, operativ, Med
622	6337-nad	n aː d	Schilfrohr
623	6338-nadaly	n ɒ d aː j	Blutegel
624	6346-nagy	n ɒ ɟ	groß, großem, Ausmaß, hochgradig, großem, Belang, Ding, Tat, wichtige, Rolle, spielend, hervorragend, Person, gewaltig, hochgestellt, älter, Hauptperson, führende, Persönlichkeit, Reichtum, Gewalt, Vorzüglichkeit, Erwachsener, älteres, Kind, erhöhtes, Maß, große, Menge, Größe, Euer, Gnaden, groß, Titel, erhöhen, steigern, ansteigen, wachsen, vergrößern, vermehren, groß, halten, vergrößern, übertreiben, vielmehr, eher, Groß, Menge, rasch, großen, ganzen
625	6374-nedv	n ɛ d.v	Saft, Flüssigkeit, edles, Getränk
626	6382-negy	n eː ɟ	vier, vierter, Viertel, viertel-, Stadtviertel, vierteln, vierteln, prügeln, Quadrat
627	6394-nem	n ɛ m	nein
628	6395-nema	n eː m ɒ	Stumme, stumm, sprechen, wollend, still, beruhigt, Tageszeit, Naturerscheinung, lautend, Buchstabe, Schriftzeichen
629	6399-nemet	n eː m ɛ t	Deutscher, deutsches, Lied, deutscher, Tanz, deutsch
630	6408-nep	n eː p	Stätte, Institution, Person, gehörige, Gemeinschaft, Volk, Leute, Menge, gemeines, Volk, haupts, Tiergruppe, bevölkert, Volk, Einwohnerschaft, Population, volkstümlich
631	6412-nev	n eː v	Name, Benennung, Gattungsname, Ehre, Ruhm, Ruf, Nomen, Wort, nennen, Nenner
632	6413-nevel	n ɛ v ɛ l	bereiten, Reife, bringen, bereichern, vermehren, pflegen, betreuen, wachsen, lassen, vergrößern, vermehren, Tier, züchten, erziehen, ausbilden, Pflanzen, anbauen, aufziehen, Amme, Pflegerin, unversorgt, minderjährig, ungezogen
633	6460-nyaj	ɲ aː j	Herde, bes, Schafherde, größere, meist, Menschengruppe, Gemeinde, Kirchenvolk
634	6476-nyar	ɲ aː r	Sumpf, Pappel
635	6478-nyarad	ɲ aː r ɒ d	schleimig, zäh, stürzen, ohnmächtig, auflösen, unförmig
636	6482-nyavalya	ɲ ɒ v ɒ j ɒ	Not, Elend, Bedarf, Krankheit, Epilepsie, Übel, elendig, kränklich, niederträchtig, verächtlich, Lage, kränken, lamentieren, bedrücken, plagen, jm, unglückliches, Schicksal, Schicksal, Unglückliche
637	6485-nyek	ɲ eː k	Zaun, Hecke, Stelle, Wald, zB, Hag, Wildgarten, Wildgehege
638	6491-nyer	ɲ ɛ r	erlangen, gewinnen, erwerben, bekommen, jmdn, gewinnen, Sieg, erringen, Spiel, gewinnen, Treffer, gewinnen, erzeugen
639	6497-nyest	ɲ ɛ ʃ.t	Marder
640	6502-nyil	ɲ iː l	Pfeil, Schicksal, Blitz, Los, Benennung, versch, od, keilförmiger, Gegenstände, Zeichen, Teil, Anteil, zugeteilten, Feldes, Schütze, Astronomie, Bogenschütze, Anhänger, ung, Nazipartei, Attr, losen, Pfeil, Bogen, schießen
641	6506-nyir	ɲ iː r	scheren, stutzen, schneiden, bearbeiten, schnitzen, zB, Tuch, Papier, jmdn, Geld, anzapfen, absägen, umbringen, Scherer, Tonsur, stutzen, lassen
642	6507-nyir	ɲ iː r	Birkenwald, Birke, Sumpf, feuchtes, Grasland, Sproß, Rute, unterer, Teil, Birkenwald, sumpfig
643	6521-nyom	ɲ o m	Fußspur, Fährte, Dauerhaftigkeit, Spur, Geschlecht, Sippe, Schritt, Art, Weise, kleine, Menge, Detektiv, sogleich
644	6522-nyomorek	ɲ o m o r eː k	elend, kümmerlich, Krüppel
645	6525-nyoszolya	ɲ o s o j ɒ	Bett, Liege
646	6537-nyul	ɲ uː l	Hase, Kaninchen, Art, Fleischstück, Schwein
647	6544-nyuz	ɲ uː z	häuten, schinden, grausam, quälen, bedrücken, Langeweile, wiederholen, Thema, Musikstück, Länge, ziehen, Zeit, eintönig, verbringen
648	6545-nyu	ɲ yː	reißen, rupfen, raufen, abtragen, Kleidungsstücke, verschleißen, bes, Kleidungsstück, abmagern, Vieh
649	6546-nyu	ɲ yː	Made, Wurm
650	6556-ocs	ø t͡ʃ	jüngere, Schwester, jüngerer, Bruder, jüngerer, männlicher, Verwandter, Verwandter, Anrede, Jüngeren
651	6564-okol	ø k ø l	Faust
652	6565-okor	ø k ø r	Ochse, Stier, Dummkopf
653	6574-olyv	ø j.v	Bussard, Habicht
654	6576-on	øː n	Rapfen
655	6581-ont	ø n.t	gießen, ausschütten, Formen, füllen, Metall, strömen, betrinken, brühen, erweichen, bereiten, Speise, bespritzen, umstoßen, umstürzen, Pflanze, damm, Kies, belegte, Straße, Römerzeit, gegossene, Statue
656	6582-or	øː r	mahlen, Getreide, zerkauen, Mühle
657	6583-or	øː r	Späher, Grenze, Grenzwächter, Jh, Z, Wachdienst, Wächter, Aufseher, Hüter, Aufsicht, Wachdienst
658	6584-ordog	ø r.d ø ɡ	Teufel, Böse, Versucher, Fluch, Teil, versch, Pflanzennamen, bedauernswerter, Mensch, Teufel, besessen, Teufel, Bunde, stehend, Zauber, Zauberer, Hexe
659	6587-ormeny	ø r.m eː ɲ	Tiefwasser, Wirbelwind
660	6589-orok	ø r ø k	zeitlos, ewig, fortwährend, unaufhörlich, fürs, Leben, geltend, Grab, umwandelbar, Beschaffenheit, unveränderlich, Ewigkeit, Erbschaft, Erbe, Ewigkeit, Erbschaft, Erbe, Erbschaft, Erbe, Erbe, Lebzeiten, Wurzel, fassen, erben, wachsen, zunehmen, ewig, Adv, ewig, Adv
661	6590-orom	ø r ø m	Freude
662	6593-orv	ø r.v	Hundehalsband, Hals, Vögel, od, Säugetiere, bzw, Harnisch
663	6595-orveny	ø r.v eː ɲ	Wirbel, Tiefwasser, Alant, schwindelerregender, Abgrund, Wirbelwind, Untergang, Zerstörung, drohender, Zustand
664	6596-os	øː ʃ	ahne, Urform, Vorgänger, Systems, Konstruktion, usw
665	6599-osz	øː s	grau, Haar, grauhaarig, graue, Haarfarbe
666	6600-osz	øː s	Herbst
667	6607-osztoru	ø s.t ø r yː	Pfählen, gebauter, Damm, Stange, versch, Zwecken, Haken, Aufhängen, Fleisch, Pfahl, Marterpfahl, stützender, Balken
668	6608-osztover	ø s.t ø v eː r	mager, trocken, dürr, scheu, Pferd, ermattet, dünn, schmal
669	6610-ot	ø t	fünf, fünfter, fünfte, Teil, Quinte, Quintett, Schulnote, Fünf
670	6613-otven	ø t.v ɛ n	fünfzig, Art, Steuer
671	6615-ov	ø v	Gürtel, Gürtel, Körperteile, Taille, Gürtel, Zone, Streifen, Geogr, Zone, umgeben, Zone, etw, herum
672	6617-oz	øː z	Reh, Steinbock, Gemse, Damwild
673	6618-ozon	ø z ø n	Flut, Schwall, Ewigkeit, schütten, ergießen, fluten
674	6620-o	oː	alt, älterem, Jahrgang, Obst, haupts, Wein, abgenützt, veraltet, überlebt
675	6633-ocsu	o t͡ʃ uː	Spreu, Abschaum, Hefe, Gemeinschaft
676	6640-odu	o d uː	Loch, Höhle, Loch, Baum, Loch, Zahn, Aushöhlung, Gegenstandes, enge, elende, Wohnung, Loch
677	6645-ok	o k	Sorgfalt, Vorsicht, Klugheit, Erklärung, Grund, Vorwand, Gelegenheit, Urkunde, Dokument, Zweck, Bedingung, Ursache, Wohl, Nutzen, Argument, Beweis, jmdm, Schuld, geben, verursachen, verursachen, begründen, motivieren, jmdm, Schuld, geben, Urkunde, Dokument, wegen
678	6650-okos	o k o ʃ	klug, vorsichtig, gelegen
679	6657-ol	oː l	Stall, Rinder, Pferde, Schafe, usw, Stall, Hühner, Gänse, Hunde, usw
680	6658-olah	o l aː h	Rumäne, kroatischer, Hirt, Westungarn, rumänisch
